Type of access,API,file path,Team owner
AsCurrentUser,msearch,msearch,x-pack/solutions/search/plugins/enterprise_search/server/lib/search_applications/fetch_indices_stats.ts,elastic/search-kibana
AsCurrentUser,count,count,x-pack/solutions/search/plugins/enterprise_search/server/lib/indices/fetch_index.ts,elastic/search-kibana
AsCurrentUser,count,count,x-pack/solutions/search/plugins/enterprise_search/server/lib/indices/fetch_index_counts.ts,elastic/search-kibana
AsCurrentUser,count,count,x-pack/solutions/search/plugins/enterprise_search/server/lib/analytics/analytics_events_exist.ts,elastic/search-kibana
AsCurrentUser,count,count,x-pack/solutions/search/plugins/enterprise_search/server/lib/stats/get_sync_jobs.ts,elastic/search-kibana
AsCurrentUser,fieldCaps,fieldCaps,x-pack/solutions/search/plugins/enterprise_search/server/lib/search_applications/field_capabilities.ts,elastic/search-kibana
AsCurrentUser,fieldCaps,fieldCaps,x-pack/platform/plugins/shared/entity_manager/server/lib/v2/validate_fields.ts,elastic/obs-entities
AsCurrentUser,Esql.query,query,x-pack/platform/plugins/shared/entity_manager/server/lib/v2/run_esql_query.ts,elastic/obs-entities
AsCurrentUser,search,search,x-pack/platform/plugins/shared/event_log/server/es/cluster_client_adapter.ts,elastic/response-ops
AsCurrentUser,search,search,x-pack/platform/plugins/shared/event_log/server/es/cluster_client_adapter.test.ts,elastic/response-ops
AsCurrentUser,search,search,x-pack/platform/plugins/private/file_upload/server/get_time_field_range.ts,elastic/kibana-presentation,elastic/ml-ui
AsCurrentUser,search,search,src/platform/plugins/shared/files/server/blob_storage_service/adapters/es/content_stream/content_stream.ts,elastic/appex-sharedux
AsCurrentUser,search,search,src/platform/plugins/shared/files/server/file_client/file_metadata_client/adapters/es_index.ts,elastic/appex-sharedux
AsCurrentUser,search,search,src/platform/plugins/shared/files/server/file_client/create_es_file_client.test.ts,elastic/appex-sharedux
AsCurrentUser,search,search,src/platform/plugins/shared/files/server/file_client/file_metadata_client/adapters/es_index.test.ts,elastic/appex-sharedux
AsCurrentUser,search,search,src/platform/plugins/shared/files/server/blob_storage_service/adapters/es/content_stream/content_stream.test.ts,elastic/appex-sharedux
AsCurrentUser,count,count,src/platform/plugins/shared/files/server/blob_storage_service/adapters/es/integration_tests/es.test.ts,elastic/appex-sharedux
AsCurrentUser,search,search,x-pack/platform/plugins/shared/fleet/server/services/files/client_from_host.ts,elastic/fleet
AsCurrentUser,search,search,x-pack/platform/plugins/shared/fleet/server/services/utils/create_es_search_iterable.ts,elastic/fleet
AsCurrentUser,search,search,x-pack/platform/plugins/shared/fleet/server/services/artifacts/artifacts.ts,elastic/fleet
